p,accuracy
1,0.9722429834282622
2,0.9685119799317887
3,0.9664415865570476
4,0.9660275078820992
5,0.9660283669664871
6,0.9652002096165907
7,0.9647878491104181
8,0.9643737704354699
9,0.964788708194806
10,0.964788708194806
11,0.9643737704354699
12,0.9639588326761338
13,0.9639588326761338
14,0.9639588326761338
15,0.9635438949167977
16,0.9635438949167977
21,0.9631289571574616
31,0.9635430358324099
41,0.9635430358324099
51,0.9635430358324099
61,0.9635430358324099
71,0.9635430358324099
81,0.9635430358324099
91,0.9635430358324099
101,0.9635430358324099
111,0.9635430358324099
121,0.9635430358324099
131,0.9635430358324099
141,0.9635430358324099
151,0.9635430358324099
201,0.9635430358324099
301,0.9249993556867091
401,0.5478699002603026
501,0.1811121706485228
